Factions,Games,Wins,Losses,Draws,Win %
Adepta Sororitas,193,79,110,4,41.97%
Adeptus Custodes,678,246,402,30,38.50%
Adeptus Mechanicus,96,61,34,1,64.06%
Aeldari,650,214,410,26,34.92%
Astra Militarum,414,236,164,14,58.70%
Black Templars,187,66,114,7,37.17%
Blood Angels,216,110,103,3,51.62%
Chaos Daemons,289,138,147,4,48.44%
Chaos Knights,302,160,130,12,54.97%
Chaos Space Marines,677,310,342,25,47.64%
Dark Angels,308,148,148,12,50.00%
Death Guard,445,224,210,11,51.57%
Deathwatch,77,26,51,0,33.77%
Drukhari,291,106,175,10,38.14%
Genestealer Cults,231,97,120,14,45.02%
Grey Knights,316,171,126,19,57.12%
Imperial Knights,356,125,217,14,37.08%
Leagues Of Votann,210,108,91,11,54.05%
Necrons,870,420,439,11,48.91%
Orks,500,208,275,17,43.30%
Space Marines,564,266,275,23,49.20%
Space Wolves,195,80,104,11,43.85%
T'au,602,288,284,30,50.33%
Thousand Sons,498,191,281,26,40.96%
Tyranids,756,338,390,28,46.56%
World Eaters,441,187,243,11,43.65%
